"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
17,"phalanx of manus",255,249,87,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001436","phalanx of manus","","","","","","","","",""
18,"phalanx of pes",236,148,208,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001449","phalanx of pes","","","","","","","","",""
19,"pubis",255,207,218,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001275","pubis","","","","","","","","",""
20,"radio-ulna",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006715","radio-ulna","","","","","","","","",""
21,"radius bone",65,36,128,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001423","radius bone","","","","","","","","",""
22,"scapula",58,149,252,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006849","scapula","","","","","","","","",""
23,"scapulocoracoid",65,36,128,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0004753","scapulocoracoid","","","","","","","","",""
24,"sesamoid bone of manus",103,87,138,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0007997","sesamoid bone of manus","","","","","","","","",""
25,"sesamoid bone of pes",213,155,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0008000","sesamoid bone of pes","","","","","","","","",""
26,"suprascapula",145,235,120,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_3000748","suprascapula","","","","","","","","",""
